CustomerID,Churn,Gender,SeniorCitizen,Partner,Dependents,Tenure,PhoneService,MultipleLines,Contract,PaperlessBilling,PaymentMethod,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,ChargesTotal,ChargesMonthly
0002-ORFBO,No,Female,0,1,1,9,1,0,One year,1,Mailed check,DSL,No,Yes,No,Yes,Yes,No,593.3,65.6
0003-MKNFE,No,Male,0,0,0,9,1,1,Month-to-month,0,Mailed check,DSL,No,No,No,No,No,Yes,542.4,59.9
0004-TLHLJ,Yes,Male,0,0,0,4,1,0,Month-to-month,1,Electronic check,Fiber optic,No,No,Yes,No,No,No,280.85,73.9
0011-IGKFF,Yes,Male,1,1,0,13,1,0,Month-to-month,1,Electronic check,Fiber optic,No,Yes,Yes,No,Yes,Yes,1237.85,98.0
0013-EXCHZ,Yes,Female,1,1,0,3,1,0,Month-to-month,1,Mailed check,Fiber optic,No,No,No,Yes,Yes,No,267.4,83.9
0013-MHZWF,No,Female,0,0,1,9,1,0,Month-to-month,1,Credit card (automatic),DSL,No,No,No,Yes,Yes,Yes,571.45,69.4
0013-SMEOE,No,Female,1,1,0,71,1,0,Two year,1,Bank transfer (automatic),Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,7904.25,109.7
0014-BMAQU,No,Male,0,1,0,63,1,1,Two year,1,Credit card (automatic),Fiber optic,Yes,No,No,Yes,No,No,5377.8,84.65
0015-UOCOJ,No,Female,1,0,0,7,1,0,Month-to-month,1,Electronic check,DSL,Yes,No,No,No,No,No,340.35,48.2
0016-QLJIS,No,Female,0,1,1,65,1,1,Two year,1,Mailed check,DSL,Yes,Yes,Yes,Yes,Yes,Yes,5957.9,90.45
0017-DINOC,No,Male,0,0,0,54,0,0,Two year,0,Credit card (automatic),DSL,Yes,No,No,Yes,Yes,No,2460.55,45.2
0017-IUDMW,No,Female,0,1,1,72,1,1,Two year,1,Credit card (automatic),Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,8456.75,116.8
0018-NYROU,No,Female,0,1,0,5,1,0,Month-to-month,1,Electronic check,Fiber optic,No,No,No,No,No,No,351.5,68.95
0019-EFAEP,No,Female,0,0,0,72,1,1,Two year,1,Bank transfer (automatic),Fiber optic,Yes,Yes,Yes,No,Yes,No,7261.25,101.3
0019-GFNTW,No,Female,0,0,0,56,0,0,Two year,0,Bank transfer (automatic),DSL,Yes,Yes,Yes,Yes,No,No,2560.1,45.05
0020-INWCK,No,Female,0,1,1,71,1,1,Two year,1,Credit card (automatic),Fiber optic,No,Yes,Yes,No,No,Yes,6849.4,95.75
0020-JDNXP,No,Female,0,1,1,34,0,0,One year,0,Mailed check,DSL,Yes,No,Yes,Yes,Yes,Yes,1993.2,61.25
0021-IKXGC,No,Female,1,0,0,1,1,1,Month-to-month,1,Electronic check,Fiber optic,No,No,No,No,No,No,72.1,72.1
0022-TCJCI,Yes,Male,1,0,0,45,1,0,One year,0,Credit card (automatic),DSL,Yes,No,Yes,No,No,Yes,2791.5,62.7
0023-HGHWL,Yes,Male,1,0,0,1,0,0,Month-to-month,1,Electronic check,DSL,No,No,No,No,No,No,25.1,25.1
0023-UYUPN,No,Female,1,1,0,50,1,1,One year,0,Electronic check,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1306.3,25.2
0023-XUOPT,Yes,Female,0,1,0,13,1,1,Month-to-month,0,Electronic check,Fiber optic,No,Yes,Yes,No,Yes,No,1215.6,94.1
0027-KWYKW,No,Female,0,1,1,23,1,1,Month-to-month,1,Electronic check,Fiber optic,No,No,No,No,Yes,No,1849.95,83.75
0030-FNXPP,No,Female,0,0,0,3,1,0,Month-to-month,0,Mailed check,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,57.2,19.85
0031-PVLZI,Yes,Female,0,1,1,4,1,0,Month-to-month,0,Mailed check,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,76.35,20.35
0032-PGELS,Yes,Female,0,1,1,1,0,0,Month-to-month,0,Bank transfer (automatic),DSL,Yes,No,No,No,No,No,30.5,30.5
0036-IHMOT,No,Female,0,1,1,55,1,0,One year,1,Bank transfer (automatic),Fiber optic,No,Yes,Yes,Yes,Yes,Yes,5656.75,103.7
0040-HALCW,No,Male,0,1,1,54,1,0,Two year,0,Credit card (automatic),No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1090.6,20.4
0042-JVWOJ,No,Male,0,0,0,26,1,0,One year,1,Bank transfer (automatic),No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,471.85,19.6
0042-RLHYP,No,Female,0,1,1,69,1,0,Two year,0,Bank transfer (automatic),No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1396.9,19.7
0047-ZHDTW,N/A,Female,0,0,0,11,1,1,Month-to-month,1,Bank transfer (automatic),Fiber optic,Yes,No,No,No,No,No,929.3,79.0
0048-LUMLS,No,Male,0,1,1,37,1,0,One year,0,Credit card (automatic),Fiber optic,No,No,No,No,Yes,Yes,3247.55,91.2
0048-PIHNL,No,Female,0,1,0,49,1,0,One year,0,Bank transfer (automatic),No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,900.9,20.45
0052-DCKON,No,Male,0,1,0,66,1,1,One year,0,Bank transfer (automatic),Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,7942.15,115.8
0052-YNYOT,No,Female,0,0,0,67,1,0,One year,0,Electronic check,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1343.4,20.55
0056-EPFBG,No,Male,0,1,1,20,0,0,Two year,1,Credit card (automatic),DSL,Yes,No,Yes,Yes,No,No,825.4,39.4
0057-QBUQH,No,Female,0,0,1,43,1,1,Two year,1,Electronic check,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1070.15,25.1
0058-EVZWM,No,Female,0,1,0,55,1,1,Month-to-month,1,Bank transfer (automatic),Fiber optic,Yes,No,No,No,Yes,No,4959.6,89.8
0060-FUALY,No,Female,0,1,0,59,1,1,Month-to-month,1,Electronic check,Fiber optic,Yes,Yes,No,No,Yes,No,5597.65,94.75
0064-SUDOG,No,Female,0,1,1,12,1,0,Two year,0,Bank transfer (automatic),No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,224.5,20.3
0064-YIJGF,No,Male,0,1,1,27,1,1,Month-to-month,1,Bank transfer (automatic),Fiber optic,No,No,No,No,No,No,1929.0,75.75
0067-DKWBL,Yes,Male,1,0,0,2,1,0,Month-to-month,1,Electronic check,DSL,Yes,No,No,No,No,No,91.1,49.25
0068-FIGTF,No,Female,0,0,0,27,1,0,One year,0,Mailed check,DSL,No,Yes,Yes,Yes,Yes,Yes,2078.95,78.2
0071-NDAFP,No,Male,0,1,1,25,1,1,Two year,0,Credit card (automatic),No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,630.6,25.5
0074-HDKDG,No,Male,0,1,1,25,1,0,One year,1,Bank transfer (automatic),DSL,Yes,Yes,Yes,No,No,No,1611.0,61.6
